seq	trim_left	trim_right	primer_type
S-06897_oECA306_A08_p4_SEQ1184192A_090817H	10	14	p4_SEQ1184192A_090817H
S-06898_oECA306_A09_p4_SEQ1184192A_090817H	11	5	p4_SEQ1184192A_090817H
S-06900_oECA306_A10_p4_SEQ1184192A_090817H	14	6	p4_SEQ1184192A_090817H
S-06903_oECA306_A11_p4_SEQ1184192A_090817H	0	2	p4_SEQ1184192A_090817H
S-06904_oECA306_A12_p4_SEQ1184192A_090817H	37	3	p4_SEQ1184192A_090817H
S-06906_oECA306_B01_p4_SEQ1184192A_090817H	19	0	p4_SEQ1184192A_090817H
S-06911_oECA306_B02_p4_SEQ1184192A_090817H	22	4	p4_SEQ1184192A_090817H
S-06916_oECA306_B03_p4_SEQ1184192A_090817H	11	12	p4_SEQ1184192A_090817H
S-06917_oECA306_B04_p4_SEQ1184192A_090817H	13	5	p4_SEQ1184192A_090817H
S-06918_oECA306_B05_p4_SEQ1184192A_090817H	10	1	p4_SEQ1184192A_090817H
S-06919_oECA306_B06_p4_SEQ1184192A_090817H	11	2	p4_SEQ1184192A_090817H
S-06920_oECA306_B07_p4_SEQ1184192A_090817H	10	9	p4_SEQ1184192A_090817H
S-06950_oECA306_B08_p4_SEQ1184192A_090817H	8	1	p4_SEQ1184192A_090817H
S-06951_oECA306_B09_p4_SEQ1184192A_090817H	8	8	p4_SEQ1184192A_090817H
S-06952_oECA306_B10_p4_SEQ1184192A_090817H	9	4	p4_SEQ1184192A_090817H
S-06969_oECA306_B11_p4_SEQ1184192A_090817H	10	7	p4_SEQ1184192A_090817H
S-06976_oECA306_B12_p4_SEQ1184192A_090817H	11	3	p4_SEQ1184192A_090817H
S-07049_oECA306_C01_p4_SEQ1184192A_090817H	14	3	p4_SEQ1184192A_090817H
S-07052_oECA306_C02_p4_SEQ1184192A_090817H	10	3	p4_SEQ1184192A_090817H
S-07061_oECA306_C03_p4_SEQ1184192A_090817H	15	8	p4_SEQ1184192A_090817H
S-07097_oECA306_C04_p4_SEQ1184192A_090817H	10	6	p4_SEQ1184192A_090817H
S-07100_oECA306_C05_p4_SEQ1184192A_090817H	15	20	p4_SEQ1184192A_090817H
S-07107_oECA306_C06_p4_SEQ1184192A_090817H	9	9	p4_SEQ1184192A_090817H
S-07108_oECA306_C07_p4_SEQ1184192A_090817H	21	4	p4_SEQ1184192A_090817H
S-07151_oECA306_C08_p4_SEQ1184192A_090817H	11	4	p4_SEQ1184192A_090817H
S-07159_oECA306_C09_p4_SEQ1184192A_090817H	10	20	p4_SEQ1184192A_090817H
S-07165_oECA306_C10_p4_SEQ1184192A_090817H	10	12	p4_SEQ1184192A_090817H
S-07169_oECA306_C11_p4_SEQ1184192A_090817H	11	3	p4_SEQ1184192A_090817H
S-07170_oECA306_C12_p4_SEQ1184192A_090817H	20	15	p4_SEQ1184192A_090817H
S-07177_oECA306_D01_p4_SEQ1184192A_090817H	10	1	p4_SEQ1184192A_090817H
S-07204_oECA306_D02_p4_SEQ1184192A_090817H	10	5	p4_SEQ1184192A_090817H
S-07216_oECA306_D03_p4_SEQ1184192A_090817H	0	3	p4_SEQ1184192A_090817H
S-07225_oECA306_D04_p4_SEQ1184192A_090817H	9	8	p4_SEQ1184192A_090817H
S-07228_oECA306_D05_p4_SEQ1184192A_090817H	11	11	p4_SEQ1184192A_090817H
S-07237_oECA306_D06_p4_SEQ1184192A_090817H	11	9	p4_SEQ1184192A_090817H
S-07239_oECA306_D07_p4_SEQ1184192A_090817H	12	17	p4_SEQ1184192A_090817H
S-07243_oECA306_D08_p4_SEQ1184192A_090817H	11	67	p4_SEQ1184192A_090817H
S-07244_oECA306_D09_p4_SEQ1184192A_090817H	10	4	p4_SEQ1184192A_090817H
S-07255_oECA306_D10_p4_SEQ1184192A_090817H	16	6	p4_SEQ1184192A_090817H
S-07266_oECA306_D11_p4_SEQ1184192A_090817H	9	2	p4_SEQ1184192A_090817H
S-07267_oECA306_D12_p4_SEQ1184192A_090817H	10	1	p4_SEQ1184192A_090817H
S-07273_oECA306_E01_p4_SEQ1184192A_090817H	10	5	p4_SEQ1184192A_090817H
S-07274_oECA306_E02_p4_SEQ1184192A_090817H	11	10	p4_SEQ1184192A_090817H
S-07287_oECA306_E03_p4_SEQ1184192A_090817H	11	7	p4_SEQ1184192A_090817H
S-07290_oECA306_E04_p4_SEQ1184192A_090817H	9	8	p4_SEQ1184192A_090817H
S-07294_oECA306_E05_p4_SEQ1184192A_090817H	11	9	p4_SEQ1184192A_090817H
S-07297_oECA306_E06_p4_SEQ1184192A_090817H	17	1	p4_SEQ1184192A_090817H
S-07305_oECA306_E07_p4_SEQ1184192A_090817H	26	1	p4_SEQ1184192A_090817H
S-07306_oECA306_E08_p4_SEQ1184192A_090817H	9	4	p4_SEQ1184192A_090817H
S-07313_oECA306_E09_p4_SEQ1184192A_090817H	12	3	p4_SEQ1184192A_090817H
S-07315_oECA306_E10_p4_SEQ1184192A_090817H	13	1	p4_SEQ1184192A_090817H
S-07323_oECA306_E11_p4_SEQ1184192A_090817H	20	0	p4_SEQ1184192A_090817H
S-07327_oECA306_E12_p4_SEQ1184192A_090817H	18	2	p4_SEQ1184192A_090817H
S-07329_oECA306_F01_p4_SEQ1184192A_090817H	14	1	p4_SEQ1184192A_090817H
S-07343_oECA306_F02_p4_SEQ1184192A_090817H	26	3	p4_SEQ1184192A_090817H
S-07350_oECA306_F03_p4_SEQ1184192A_090817H	12	6	p4_SEQ1184192A_090817H
S-07353_oECA306_F04_p4_SEQ1184192A_090817H	26	2	p4_SEQ1184192A_090817H
S-07355_oECA306_F05_p4_SEQ1184192A_090817H	0	1	p4_SEQ1184192A_090817H
S-07357_oECA306_F06_p4_SEQ1184192A_090817H	10	1	p4_SEQ1184192A_090817H
S-07358_oECA306_F07_p4_SEQ1184192A_090817H	11	2	p4_SEQ1184192A_090817H
S-07359_oECA306_F08_p4_SEQ1184192A_090817H	12	6	p4_SEQ1184192A_090817H
S-07365_oECA306_F09_p4_SEQ1184192A_090817H	10	3	p4_SEQ1184192A_090817H
S-07368_oECA306_F10_p4_SEQ1184192A_090817H	16	2	p4_SEQ1184192A_090817H
S-07372_oECA306_F11_p4_SEQ1184192A_090817H	10	2	p4_SEQ1184192A_090817H
S-07375_oECA306_F12_p4_SEQ1184192A_090817H	15	3	p4_SEQ1184192A_090817H
S-07378_oECA306_G01_p4_SEQ1184192A_090817H	17	4	p4_SEQ1184192A_090817H
S-07384_oECA306_G02_p4_SEQ1184192A_090817H	17	1	p4_SEQ1184192A_090817H
S-07385_oECA306_G03_p4_SEQ1184192A_090817H	14	0	p4_SEQ1184192A_090817H
S-07387_oECA306_G04_p4_SEQ1184192A_090817H	19	6	p4_SEQ1184192A_090817H
S-07388_oECA306_G05_p4_SEQ1184192A_090817H	0	4	p4_SEQ1184192A_090817H
S-07391_oECA306_G06_p4_SEQ1184192A_090817H	11	0	p4_SEQ1184192A_090817H
S-07392_oECA306_G07_p4_SEQ1184192A_090817H	0	8	p4_SEQ1184192A_090817H
S-07400_oECA306_G08_p4_SEQ1184192A_090817H	16	3	p4_SEQ1184192A_090817H
S-07414_oECA306_G09_p4_SEQ1184192A_090817H	12	0	p4_SEQ1184192A_090817H
S-07415_oECA306_G10_p4_SEQ1184192A_090817H	13	30	p4_SEQ1184192A_090817H
S-07420_oECA306_G11_p4_SEQ1184192A_090817H	11	1	p4_SEQ1184192A_090817H
S-07421_oECA306_G12_p4_SEQ1184192A_090817H	15	3	p4_SEQ1184192A_090817H
S-07423_oECA306_H01_p4_SEQ1184192A_090817H	14	1	p4_SEQ1184192A_090817H
S-07424_oECA306_H02_p4_SEQ1184192A_090817H	15	0	p4_SEQ1184192A_090817H
S-07425_oECA306_H03_p4_SEQ1184192A_090817H	14	2	p4_SEQ1184192A_090817H
S-07430_oECA306_H04_p4_SEQ1184192A_090817H	0	5	p4_SEQ1184192A_090817H
S-07431_oECA306_H05_p4_SEQ1184192A_090817H	18	1	p4_SEQ1184192A_090817H
S-07432_oECA306_H06_p4_SEQ1184192A_090817H	14	0	p4_SEQ1184192A_090817H
S-07436_oECA306_H07_p4_SEQ1184192A_090817H	20	1	p4_SEQ1184192A_090817H
S-07453_oECA306_H08_p4_SEQ1184192A_090817H	26	19	p4_SEQ1184192A_090817H
S-07460_oECA306_H09_p4_SEQ1184192A_090817H	16	1	p4_SEQ1184192A_090817H
S-07467_oECA306_H10_p4_SEQ1184192A_090817H	15	6	p4_SEQ1184192A_090817H
S-07468_oECA306_H11_p4_SEQ1184192A_090817H	18	1	p4_SEQ1184192A_090817H
S-07472_oECA306_H12_p4_SEQ1184192A_090817H	18	2	p4_SEQ1184192A_090817H
S-05127_oECA306_A01_rhabditid	18	6	rhabditid
S-05145_oECA306_B01_rhabditid	20	1	rhabditid
S-05150_oECA306_C01_rhabditid	11	5	rhabditid
S-05166_oECA306_D01_rhabditid	13	1	rhabditid
S-05171_oECA306_E01_rhabditid	23	2	rhabditid
S-05190_oECA306_F01_rhabditid	35	0	rhabditid
S-05197_oECA306_G01_rhabditid	15	6	rhabditid
S-05205_oECA306_H01_rhabditid	21	2	rhabditid
S-05213_oECA306_A02_rhabditid	18	1	rhabditid
S-05214_oECA306_B02_rhabditid	18	3	rhabditid
S-05226_oECA306_C02_rhabditid	16	2	rhabditid
S-05230_oECA306_D02_rhabditid	12	6	rhabditid
S-05234_oECA306_E02_rhabditid	8	4	rhabditid
S-05235_oECA306_F02_rhabditid	17	3	rhabditid
S-05238_oECA306_G02_rhabditid	15	3	rhabditid
S-05253_oECA306_H02_rhabditid	15	3	rhabditid
S-05257_oECA306_A03_rhabditid	15	2	rhabditid
S-05274_oECA306_B03_rhabditid	10	0	rhabditid
NA_oECA1271_A11_rockman	0	18	rockman
NA_oECA1271_A12_rockman	23	7	rockman
NA_oECA1271_C11_rockman	0	4	rockman
NA_oECA1271_C12_rockman	27	0	rockman
NA_oECA1271_E09_rockman	22	5	rockman
NA_oECA1271_E10_rockman	12	5	rockman
NA_oECA1271_E11_rockman	19	2	rockman
NA_oECA1271_E12_rockman	17	29	rockman
NA_oECA1271_G11_rockman	24	1	rockman
NA_oECA1271_G12_rockman	17	4	rockman
S-05117_oECA1271_A01_rockman	6	5	rockman
S-05118_oECA1271_A02_rockman	17	7	rockman
S-05127_oECA1271_A03_rockman	8	2	rockman
S-05140_oECA1271_A04_rockman	9	8	rockman
S-05141_oECA1271_A05_rockman	8	15	rockman
S-05145_oECA1271_A07_rockman	12	0	rockman
S-05146_oECA1271_A08_rockman	11	4	rockman
S-05147_oECA1271_A09_rockman	21	9	rockman
S-05148_oECA1271_A10_rockman	9	22	rockman
S-05150_oECA1271_B01_rockman	12	15	rockman
S-05151_oECA1271_B02_rockman	13	0	rockman
S-05160_oECA1271_B04_rockman	9	6	rockman
S-05164_oECA1271_B06_rockman	10	7	rockman
S-05165_oECA1271_B07_rockman	13	5	rockman
S-05166_oECA1271_B08_rockman	10	1	rockman
S-05168_oECA1271_B09_rockman	19	10	rockman
S-05171_oECA1271_B10_rockman	10	4	rockman
S-05172_oECA1271_B11_rockman	15	9	rockman
S-05175_oECA1271_B12_rockman	9	0	rockman
S-05180_oECA1271_C01_rockman	7	1	rockman
S-05182_oECA1271_C02_rockman	20	14	rockman
S-05184_oECA1271_C03_rockman	18	5	rockman
S-05185_oECA1271_C04_rockman	16	5	rockman
S-05187_oECA1271_C05_rockman	8	7	rockman
S-05189_oECA1271_C06_rockman	13	21	rockman
S-05190_oECA1271_C07_rockman	0	5	rockman
S-05193_oECA1271_C08_rockman	8	6	rockman
S-05194_oECA1271_C09_rockman	14	7	rockman
S-05195_oECA1271_C10_rockman	8	3	rockman
S-05196_oECA1271_D01_rockman	25	8	rockman
S-05197_oECA1271_D02_rockman	10	5	rockman
S-05198_oECA1271_D03_rockman	11	8	rockman
S-05199_oECA1271_D04_rockman	9	6	rockman
S-05200_oECA1271_D05_rockman	0	9	rockman
S-05204_oECA1271_D06_rockman	10	7	rockman
S-05205_oECA1271_D07_rockman	9	4	rockman
S-05206_oECA1271_D08_rockman	8	2	rockman
S-05207_oECA1271_D09_rockman	15	7	rockman
S-05209_oECA1271_D10_rockman	22	5	rockman
S-05210_oECA1271_D11_rockman	26	3	rockman
S-05212_oECA1271_D12_rockman	20	2	rockman
S-05213_oECA1271_E01_rockman	13	10	rockman
S-05214_oECA1271_E02_rockman	16	18	rockman
S-05215_oECA1271_E03_rockman	0	7	rockman
S-05216_oECA1271_E04_rockman	8	28	rockman
S-05218_oECA1271_E05_rockman	15	5	rockman
S-05219_oECA1271_E06_rockman	11	1	rockman
S-05220_oECA1271_E07_rockman	14	3	rockman
S-05221_oECA1271_E08_rockman	12	2	rockman
S-05226_oECA1271_F01_rockman	8	8	rockman
S-05227_oECA1271_F02_rockman	0	6	rockman
S-05228_oECA1271_F03_rockman	10	7	rockman
S-05229_oECA1271_F04_rockman	34	1	rockman
S-05230_oECA1271_F05_rockman	23	1	rockman
S-05233_oECA1271_F06_rockman	21	8	rockman
S-05234_oECA1271_F07_rockman	7	42	rockman
S-05235_oECA1271_F08_rockman	22	1	rockman
S-05236_oECA1271_F09_rockman	15	3	rockman
S-05238_oECA1271_F10_rockman	9	0	rockman
S-05240_oECA1271_F11_rockman	14	5	rockman
S-05244_oECA1271_F12_rockman	12	3	rockman
S-05247_oECA1271_G01_rockman	11	7	rockman
S-05248_oECA1271_G02_rockman	0	58	rockman
S-05251_oECA1271_G03_rockman	8	8	rockman
S-05252_oECA1271_G04_rockman	13	15	rockman
S-05253_oECA1271_G05_rockman	15	7	rockman
S-05255_oECA1271_G06_rockman	0	7	rockman
S-05257_oECA1271_G07_rockman	13	6	rockman
S-05261_oECA1271_G08_rockman	9	7	rockman
S-05263_oECA1271_G09_rockman	7	5	rockman
S-05264_oECA1271_G10_rockman	8	8	rockman
S-05265_oECA1271_H01_rockman	8	6	rockman
S-05267_oECA1271_H02_rockman	15	3	rockman
S-05268_oECA1271_H03_rockman	9	8	rockman
S-05271_oECA1271_H05_rockman	11	3	rockman
S-05274_oECA1271_H06_rockman	23	4	rockman
S-05275_oECA1271_H07_rockman	16	5	rockman
S-05276_oECA1271_H08_rockman	15	3	rockman
S-05278_oECA1271_H09_rockman	11	38	rockman
S-05279_oECA1271_H10_rockman	9	0	rockman
S-05280_oECA1271_H11_rockman	19	0	rockman
S-05283_oECA1271_B03_rockman	44	3	rockman
S-05284_oECA1271_B05_rockman	19	10	rockman
S-05294_oECA1271_H12_rockman	9	6	rockman
S-05297_oECA1271_H04_rockman	0	9	rockman
S-05298_oECA1271_A06_rockman	8	3	rockman
